,Country,Year,Number
0,Belize,2000,179
1,Costa Rica,2000,328
2,El Salvador,2000,11845
3,Guatemala,2000,7748
4,Honduras,2000,12075
5,Mexico,2000,1744304
6,Nicaragua,2000,1005
7,Panama,2000,134
8,Belize,2001,174
9,Costa Rica,2001,352
10,El Salvador,2001,11688
11,Guatemala,2001,7434
12,Honduras,2001,10803
13,Mexico,2001,1315678
14,Nicaragua,2001,990
15,Panama,2001,143
16,Belize,2002,160
17,Costa Rica,2002,334
18,El Salvador,2002,9209
19,Guatemala,2002,8344
20,Honduras,2002,11295
21,Mexico,2002,994724
22,Nicaragua,2002,823
23,Panama,2002,123
24,Belize,2003,281
25,Costa Rica,2003,481
26,El Salvador,2003,11757
27,Guatemala,2003,10355
28,Honduras,2003,16632
29,Mexico,2003,956963
30,Nicaragua,2003,1055
31,Panama,2003,126
32,Belize,2004,151
33,Costa Rica,2004,571
34,El Salvador,2004,19180
35,Guatemala,2004,14288
36,Honduras,2004,26555
37,Mexico,2004,1142807
38,Nicaragua,2004,1664
39,Panama,2004,97
40,Belize,2005,149
41,Costa Rica,2005,1321
42,El Salvador,2005,42884
43,Guatemala,2005,25908
44,Honduras,2005,55775
45,Mexico,2005,1093382
46,Nicaragua,2005,4273
47,Panama,2005,131
48,Belize,2006,140
49,Costa Rica,2006,803
50,El Salvador,2006,46329
51,Guatemala,2006,25135
52,Honduras,2006,33365
53,Mexico,2006,1057253
54,Nicaragua,2006,3228
55,Panama,2006,131
56,Belize,2007,113
57,Costa Rica,2007,377
58,El Salvador,2007,19699
59,Guatemala,2007,23907
60,Honduras,2007,28263
61,Mexico,2007,854261
62,Nicaragua,2007,2118
63,Panama,2007,112
64,Belize,2008,115
65,Costa Rica,2008,322
66,El Salvador,2008,17899
67,Guatemala,2008,22660
68,Honduras,2008,23785
69,Mexico,2008,693795
70,Nicaragua,2008,1862
71,Panama,2008,135
72,Belize,2009,98
73,Costa Rica,2009,267
74,El Salvador,2009,16814
75,Guatemala,2009,20746
76,Honduras,2009,19149
77,Mexico,2009,528139
78,Nicaragua,2009,1478
79,Panama,2009,80
80,Belize,2010,338
81,Costa Rica,2010,548
82,El Salvador,2010,29911
83,Guatemala,2010,39050
84,Honduras,2010,32501
85,Mexico,2010,632034
86,Nicaragua,2010,2587
87,Panama,2010,283
88,Belize,2011,361
89,Costa Rica,2011,503
90,El Salvador,2011,27652
91,Guatemala,2011,41708
92,Honduras,2011,31189
93,Mexico,2011,517472
94,Nicaragua,2011,2278
95,Panama,2011,226
96,Belize,2012,316
97,Costa Rica,2012,518
98,El Salvador,2012,38976
99,Guatemala,2012,57486
100,Honduras,2012,50771
101,Mexico,2012,468766
102,Nicaragua,2012,2532
103,Panama,2012,197
104,Belize,2013,293
105,Costa Rica,2013,409
106,El Salvador,2013,51226
107,Guatemala,2013,73208
108,Honduras,2013,64157
109,Mexico,2013,424978
110,Nicaragua,2013,2712
111,Panama,2013,184
112,Belize,2014,258
113,Costa Rica,2014,378
114,El Salvador,2014,79321
115,Guatemala,2014,97151
116,Honduras,2014,106928
117,Mexico,2014,350177
118,Nicaragua,2014,2912
119,Panama,2014,100
120,Belize,2015,140
121,Costa Rica,2015,213
122,El Salvador,2015,51200
123,Guatemala,2015,66982
124,Honduras,2015,42433
125,Mexico,2015,267885
126,Nicaragua,2015,1577
127,Panama,2015,92
128,Belize,2016,150
129,Costa Rica,2016,214
130,El Salvador,2016,78983
131,Guatemala,2016,84649
132,Honduras,2016,61222
133,Mexico,2016,265747
134,Nicaragua,2016,1756
135,Panama,2016,95
136,Belize,2017,159
137,Costa Rica,2017,230
138,El Salvador,2017,59687
139,Guatemala,2017,81909
140,Honduras,2017,60169
141,Mexico,2017,220138
142,Nicaragua,2017,1721
143,Panama,2017,78
144,Belize,2018,180
145,Costa Rica,2018,250
146,El Salvador,2018,42132
147,Guatemala,2018,135354
148,Honduras,2018,91141
149,Mexico,2018,252267
150,Nicaragua,2018,4014
151,Panama,2018,88
152,Belize,2019,289
153,Costa Rica,2019,242
154,El Salvador,2019,99750
155,Guatemala,2019,285067
156,Honduras,2019,268992
157,Mexico,2019,254595
158,Nicaragua,2019,14248
159,Panama,2019,88
160,Total,2000,1777618
161,Total,2001,1347262
162,Total,2002,1025012
163,Total,2003,997650
164,Total,2004,1205313
165,Total,2005,1223823
166,Total,2006,1166384
167,Total,2007,928850
168,Total,2008,760573
169,Total,2009,586771
170,Total,2010,737252
171,Total,2011,621389
172,Total,2012,619562
173,Total,2013,617167
174,Total,2014,637225
175,Total,2015,430522
176,Total,2016,492816
177,Total,2017,424091
178,Total,2018,525426
179,Total,2019,923271
