,Year,Disaster Type,Event Name,Country,Total Affected
0,2000,Storm,Keith,Belize,62570.0
1,2000,Flood,,Guatemala,462.0
2,2000,Flood,,Mexico,
3,2000,Drought,,Honduras,1125.0
4,2000,Drought,,Nicaragua,
5,2000,Landslide,,Costa Rica,200.0
6,2000,Transport accident,Cessna Caravan,Costa Rica,
7,2000,Miscellaneous accident,Maison de retraite,Costa Rica,
8,2000,Volcanic activity,Pacaya,Guatemala,800.0
9,2000,Flood,,Guatemala,2524.0
10,2000,Transport accident,,Guatemala,45.0
11,2000,Transport accident,,Guatemala,50.0
12,2000,Wildfire,,Honduras,
13,2000,Transport accident,,Honduras,60.0
14,2000,Storm,Norman,Mexico,300.0
15,2000,Earthquake,,Mexico,1.0
16,2000,Volcanic activity,Popocatépetl,Mexico,41000.0
17,2000,Flood,,Mexico,
18,2000,Storm,Keith,Mexico,30000.0
19,2000,Extreme temperature,,Mexico,
20,2000,Transport accident,Jet Stream J-32,Mexico,
21,2000,Transport accident,,Mexico,
22,2000,Transport accident,"Boat ""Azteca 10"" and boat ""Permata""",Mexico,
23,2000,Transport accident,,Mexico,
24,2000,Miscellaneous accident,Factory,Mexico,170.0
25,2000,Miscellaneous accident,"Dicotheque ""Lobohombo""",Mexico,28.0
26,2000,Flood,,Mexico,2000.0
27,2000,Storm,,Nicaragua,210.0
28,2000,Earthquake,,Nicaragua,7477.0
29,2000,Flood,,Nicaragua,5500.0
30,2000,Storm,Keith,Nicaragua,2300.0
31,2001,Earthquake,,Guatemala,152.0
32,2001,Transport accident,,Guatemala,20.0
33,2001,Transport accident,,Guatemala,32.0
34,2000,Transport accident,Aeroperlas aircraft,Panama,
35,2000,Transport accident,"Minesweeper ""Valiente"" and cargo ""Skyros""",Panama,
36,2000,Flood,,Panama,1000.0
37,2000,Flood,,El Salvador,400.0
38,2000,Storm,Keith,El Salvador,100.0
39,2000,Epidemic,Dengue,El Salvador,211.0
40,2000,Miscellaneous accident,Military police ammunition dump,El Salvador,41.0
41,2001,Earthquake,,El Salvador,1334529.0
42,2001,Earthquake,,El Salvador,256021.0
43,2001,Storm,Iris,Belize,20000.0
44,2001,Storm,Chantal,Belize,
45,2001,Drought,,Honduras,195000.0
46,2001,Drought,,Guatemala,113596.0
47,2001,Flood,,Costa Rica,1437.0
48,2001,Storm,Iris,Guatemala,6446.0
49,2001,Extreme temperature,,Guatemala,1850.0
50,2001,Transport accident,,Guatemala,20.0
51,2001,Storm,Michelle,Honduras,86321.0
52,2001,Flood,,Mexico,
53,2001,Storm,Dalila,Mexico,100.0
54,2001,Storm,Juliette,Mexico,3800.0
55,2001,Storm,Iris,Mexico,
56,2001,Storm,Lorena,Mexico,
57,2001,Storm,Chantal,Mexico,2500.0
58,2001,Transport accident,LET 410,Mexico,
59,2002,Flood,,Costa Rica,20000.0
